Valoracion,Comentario
1,este producto de loreal es bueno no como el champu oscurecedor de canas control gx usar poca cantidad una yema de dedo es mas que suficiente para toda la cara mas pringa mucho deja la cara tersa y la hidrata muy bien enhorabuena seguire comprandolo
1,lo uso ya hace tiempo y lo seguire usando
1,me afeito la cabeza desde los 20 anos y voy a cumplir 48 siempre andaba con granitos irritaciones poros obstruidos y demas afecciones de la piel generalmente nada preocupante pero si molesto tanto fisicamente como esteticamente desde que uso esta crema hidratante el antiedad gemelo de color rojo httpswwwamazonesdpb08ygknm2ycoliidi6fem9s9tjj91colid2g8zqa57y3v11psc1ref_lv_ov_lig_dp_it y un gel limpiador httpswwwamazonesgpproductb01mdojgdkrefppx_yo_dt_b_search_asin_titleieutf8psc1 todos esos problemas han desaparecido en un 99 hay que ser constante y usar los tres productos 12 veces al dia pero en micaso el cambio ha sido abismal por ellos los recomiendo todos eso si conviene estar pendiente de las ofertas que salen de vez en cuando y con las que te ahorras unos cuantos euros producto recomendado 
1,calidad pero es algo caro
1,el producto tiene buena calidad
1,llevo ya un tiempo y ni anti fatigas ni nada como no sea que te eches un cubo encima si descargas un camion de sacos de cemento te cansas y con todo y con eso te cansas probare con dos cubos
1,me gusta bastante se aplica facilmente y se absorbe rapido tiene una sensacion fresca cuando te lo aplicas mantiene la piel hidratada todo el dia y mantiene una ligera capa cremosa no queda la cara seca como con otras cremas y por tanto deja un ligero brillo una buena opcion para tener la piel hidratada todo el dia
1,crema de gran calidad y muy buena relacion calidad precio muy recomendable
1,nada de otro mundo no es que parezcas estrella despues de usarla pero hidrata aunque el frescor dure poco y te sientas igual 
1,llevo un tiempo usando este producto te deja el rostro con una sensacion de frescor la piel mas suave ademas que la hidrata no te quitara las lineas de expresion pero creo que las atenua y previene futuras lineas un producto que vale la pena realmente recomendable
1,he probado varias pero siempre terminan por dejarme o la piel muy seca o muy grasienta con esta se me queda como a mi me gusta hay que cuidarse
1,muy buena calidad
0,ye fresco hidratante prestosu etc pero si pienses que vas remocicar per usalo meyor vete a lourdes
1,perfecto para refrescar la piel y eliminar el efecto cansancio cuando terminas tu jornada laboral
1,calidadprecio
1,esta crema es fantastica no deja la cara grasa la utilizo a diario
1,muy bueno
1,deja suave la piel despues de del afeitado
0,a mi me deja la piel muy grasa
1,es perfecto
1,deja la cara muy suave lo que no me gusta es su olor huele poco pero no tiene un aroma bueno ni demasiado malo de hecho diria que hasta olia mal la primera vez que me la eche y me senti un poco extranado al ser un producto de loreal por ahi han comentado que es falsa y a esto tengo que decir que no la encuentro en la pagina oficial de loreal solo he encontrado la de 50ml este bote de 100ml podria ser perfectamente una copia solo que no lo puedo asegurarlo pero como crema esta bien y funciona cuidado de todas formas
1,tarda un poco en absorver pero una vez que lo hace no queda la piel grasa estoy conforme
1,buen precio para una crema excelente
1,es un gel que te deja la cara fresca como una rosa con un poco de producto da para todo el rostro eso si no esperes milagros si eres feo seguiras siendolo por mucha crema que te des
1,esta bastante bien
1,tiene una textura estupenda
1,llevo usando esta crema desde hace 3 anos algunos comentan que hace casi milagros y me sorprende la valoracion que hago yo de esta crema es que es una crema que hidrata la piel y es de rapida absorcion no deja la piel oleosa y a mi parecer ayuda a que la piel se mantenga tensa por tanto si tienes arrugas no te las va a quitar en 3 dias como parece que dicen algunos pero si que ayuda a que no sigan formandose tan rapido ya que la constante hidratacion hace que la piel se mantenga mas sana
1,se absorbe muy rapido y se siente la hidratacion enseguida al aplicar la piel cambia considerablemente no es milagrosa pero cumple su funcion de hidratar
1,esta bien aunque me gusta mas este otro producto de la misma marca loreal men expert rollon contorno de ojos hydra energetic efecto hielo antibolsas y antiojeras con 2 vitamin este que he comprado me deja la piel como mas grasa saludos
1,buena si esta de oferta sino hay otras marcas que van bien tambien
1,es una crema de muy buena calidad a buen precio da mucha sensacion de frescor e hidrata muy bien
1,de momento muy bien hidrata genial y el aroma muy fresco
0,buena textura y olor es suave y se extiende bien pero me deja la cara muy grasa y con demasiado brillo no es apta para mi
1,te deja la piel y genial con un buen color
1,esta es la segunda mejor calidad precio estan fantasticas y estoy empezando a notar las he comprado todas y van de lujo ya las habia usado pero vi que tenian precios buenos y compre todas
1,nunca he usado cremas y la verdad que me decidi usar esta porque ultimamente me notaba la piel de la cara un poco reseca y esta funcionando genial no tarda en secarse esta crema y tiene un aroma muy bueno llevo como dos semanas usandola y genial lo unico que debido a que estoy opositando y trabajando tengo ojeras y de momento no se me han dejado de marcar pero la piel la tengo suave y genial la volvere a comprar
1,posiblemente la mejor crema relacion calidad precio yo me aplico esta crema siempre despues de ducharme y la verdad es que es muy recomfortante porque no es una sustancia oleica y es de muy rapida absorcion
1,la uso solo para las ojeras y mira igual no hace milagros pero si que da la sensacion de que algo hace y el precio es asumible he probado otros y al final el unico con el que no me siento estafado es con este
1,muy buen producto a un precio muy bueno contento con el resultado pues llevo 2 anos comprando este producto por amazon pero esta vez la compre mas grande para que dure mas recomiendo su compra sin lugar a dudas
1,me encanta la frescura que proporciona
1,no deja brillos absorbe rapidamente buena crema es la segunda vez que se la compro a mi marido le encanta
1,se absorbe rapido no deja la piel grasa y me gusta la sensacion que deja en la cara no es de las mejores hidratantes pero a buen precio merece la pena
1,me gusta mucho esta crema la llevo utilizando tiempo y es mi favorita
1,es suave al tacto fresca y no deja la piel grasa lo cual se agradece en pieles sensibles la absorcion es rapida y la sensacion que queda en la piel es muy agradable
1,me ha gustado te deja la cara hidratada y fresca
1,la uso como aftershave y me va genial y ultimamente la utilizo tambien mucho para las ojeras de las cremas que he probado y he probado unas cuantas me quedo con esta ademas este formato dura mas que el otro chiquitico que se acaba enseguida y sale mejor de precio
1,te deja la piel muy bien si tienes descamacion persistente hace milagros despues de una exfolia ion mantiene bastante bien la humedad de la piel y se absorbe muy rapido con lo que una aplicacion rapida despues de la ducha es suficiente para todo el dia
1,yo que jamas me ponia cremas ahora con una cierta edad empiezo a cuidarme mas y esta me ha gustado porque hidrata realmente se nota la comparativa con hidratantes de super y ademas es bastante agradable de olor y de tacto muy gel menos crema eso si es mas cara que la sangre de unicornio
0,fue un regalo al abrirlo le gusto no le he preguntado si hace algun efecto o no
1,a mi pareja le gusta mucho es facil de aplicar y se absorbe muy bien
1,me gusta su textura fluida facil de aplicar se absorbe muy rapido y no deja la piel grasa sobretodo la zona de la frente que era donde mas problema tenia con otras cremas
1,refrescante crema y buen aroma buena relacion calidad precio
1,buena marca
1,gran producto a gran precio
0,el producto esta bien porque no es muy grasiento que es justo lo que no queria sin embargo el olor no me gusta nada de nada se que esto es muy personal de manera que no no va a ser muy util esta resena por lo demas ya digo se absorbe rapido y bien
0,decepcionado
1,bien producto como siempre
1,excelente producto
1,fantastica no es pegajosa ni deja brillos la uso desde hace anos despues de afeitarme y por las mananas antes de salir de casa
1,deja muy bien el cutis sino irritaciones
1,producto muy buenoes el segundo que comprorefresca mucho la caray en mi caso que trabajo de nochelas ojeras que las tenia muy marcadas van remitiendo sus signos genial
1,el producto no trae precinto de garantia pero se ve claramente que no ha sido usado y por lo tanto me da confianza
1,muy buena crema y ha buen precio me ha quitado la sequedad que tenia en la cara
1,aroma agradable facil de aplicar fresco y poco graso resultados en pocos dias muy satisfecho
1,lo que esperaba buen producto regalo para mi pareja que usa siempre esta y no la bmhabia visto en este tamano en los supermercados
1,nunca falla este producto en mi casa lo uso a diario y se nota su eficacia
1,muy buen aroma deja la piel perfectamente hidratada y tonificada compra recomendable buen precio el tarro es grande
1,desde que la pobreno utilizo otra
1,el producto lo conocia de antes buen genero
1,hidratante pero no grasa muy bien
1,la uso a diario y mantiene mi cara hidratada
1,esta bien aunque viene sin caja
0,este producto me encanta tengo buena opinion de el lo estoy usando despues de afeitarme y creo que mi piel ha mejorado
1,soy un habitual de esta crema la relacion calidad precio excelente 
0,el articulo viene sin caja y sin ningun precinto de seguridad ni de plastico ni de nada una autentica chapuza
1,este tamano y comprado en precio rebajado es una buena compra va muy bien
1,estupendo este formato de 100 ml que no se puede comprar en los comercios
0,a mi me resulta bastante graso y el aroma no me gusta nada no lo volveria a comprar he estado mirando alguno de biotherm y marcas de mayor gama que creo merecen mas la pena
1,cantidad de 100 ml el formato
1,excelente crema buen aroma y no es grasosa
1,facil dosificacion con absorcion rapida y sensacion de suavidad extra
1,me gusta tener el after shave de mayor tamano
1,esta muy bien para hidratar el rostro
1,bueno
1,ya la conocia precio mas economico en este formato llego en tiempo indicado y en perfecto estado
1,todo ok buen producto y buen precio
1,buena crema hidratante de cara
1,muy bien calidad precio buena
1,muy bueno
1,relacion calidadprecio inmejorable vale la pena laoferta
0,no tiene el mismo color que el comprado en grandes superficies u otros no me causa buena impresion
1,buen producto
1,utilizo esta crema y estaba a buen precio gran formato
1,perfecto
1,perfecto
0,tiene alcohol como after shave esta bienpero no es un antiarrugas ni soluciona las ojeras ni las bolsas ni nada
1,una cremagel muy aceptable tanto para recien afeitado con algo de barba de dos dias es muy opitmo hidrata bien para piel mixta como es mi caso muy bien
1,precio
0,viene sin caja y se desconoce la fecha de caducidad compre el formato pequeno unos dias antes porque estaba muy barato y me vino correctamente tanto que me decidi a comprar el grande para mi sorpresa vino sin caja y en mal estado
1,hasta parece que duermo 8 horas diarias
0,muy mala experiencia con este producto el olor es horrible  no se si vendria caducado  queda la piel muy grasa como si te hubieras puesto aceite nada recomendable 
1,huele super bien calidad precio genial
1,aqui tenemos una crema facial se trata de loreal men expert crema hidratante antifatiga 24h hydra energetic para hombres crema facial de uso diario aporta energia combate los signos de fatiga viene en un bote con su dosificador y una tapa para evitar derrames con100 ml y es de la conocida marca loreal paris men expert a un precio de 1390   es una crema hidratante de uso diario para hombre con una formula que incluye extracto de guarana y vitamina c para darle un extra de energia a la piel y tras varios dias de uso se aprecia una disminucion de los signos del cansancio en la cara y con 5 acciones antifatiga rasgos cansados ojeras rugosidad tez apagada y perdida de tonicidad se puede aplicar por la manana y noche y es mejor aplicar despues del afeitado y es cuando mas he notado la sensacion de frescor y alivio del ardor y las rojeces viene con una formula especificamente disenada para hombres con pieles apagadas testado dermatologicamente y tienes la piel hidratada y tersa todo el dia a mi desde luego me ha gustado mucho aunque no es de extranar dada la gran calidad de este producto y marca con prestigio constatado una vez mas con este gran producto mi puntuacion en relacion al producto y aportando mi experiencia de uso de varias dias ha sido calidad  89 empaquetado 8 uso 89 precio 89 utilidad 910 comodidad 910 densidad 910 aroma 10 textura 910 absocion 10 hidratacion 10 en general calidadprecio y demas caracteristicas  910 por todos los parametros contrastados  una nota media de un producto con sobresaliente  lo que significa puntuacion de 5 estrellas es un producto que si compraria por su calidad y para hidratar y ayudar a aliviar el estres en la cara ademas de ayudar al alivio del picor y escozor despues del afeitado me ha resultado muy agradable con una densidad y aroma bueno y resultados visibles en unos dias de aplicacion y lo que menos me ha gustado ha sido su precio algo alto segun mi criterio pero no es determinante para mi dada su calidad y resultados objetivos por lo que bajando un poco ese precio entre un 515  y manteniendo su calidad seria aun mejor producto aunque ya le doy 5 estrellas pero debe mantener esa calidad en el tiempo asi que espero os haya servido mi opinion y os resulte de lo mas util y asi me lo transmitais  gracias si es asi seguire probando y si observo algo mas positivo o negativo ampliare esta opinion gracias por seguirme y leer esta opinion aepp salu2
1,la crema como hidratante va genial no tiene efecto anti arrugas ni nada que ayude a difuminarlas si ya las tienes asique si es lo que buscas o necesitas esta no es para ti la crema es en consistencia gel muy agradable al aplicar en la piel la refresca y se absorbe bastante rapido no deja la piel grasa ni con brillos aunque tampoco la deja totalmente mate deja un aspecto de buena piel de jugosidad de buena cara sin resultar pesada ni pegajosa la usa normalmente a diario tanto por el dia como por la noche pero sobretodo los dias que nota la piel mas apagada con mas sequedad y con falta de vitalidad y esta encantado con ella el efecto en la zona de las bolsas es practicamente inmediato deja la zona muy bien el a veces la aplica en frio y dice que le gusta mucho mas como le deja la piel cuando es asi aparte de que evidentemente la refresca mucho mas las unicas pegas que le ha sacado es que el bote venia roto por debajo nada importante ya que es plastico y el recipiente de la crema no llega hasta el final del bote vamos que dentro lleva como otro recipiente y el tanano que vemos no es el real de la crema y que al aplicado hay que pillarle el truco si aprietas mucho y hasta abajo sale muchisima cantidad mas de la que la piel necesitaria realmente por lo que desperdicia producto hay que apretar pero poquito por lo demas el esta encantado con ella suele ser bastante dejado y perezoso a la hora de usar y aplicar prodyvtos y con esta esta muy contento y esta siendo constante los efectos son visibles al momento tanto en la zona de bolsaojera como que la piel se le ve con mejor aspecto y le queda muuuy suave al tacto
1,me decante por esta crema hidratante para mi marido tiene la piel normal pero despues de hacer deporte y la ducha siempre le queda la piel un poco tersa lleva unos dias utilizandola y creo que puedo emitir opinion sobre la misma transmitiendo lo que me comenta paso ahora a detallar los aspectos mas positivos y negativos que objetivamente puedo considerar tras su uso como factores positivos   su funcion principal es la hidratacion revitalizar la piel y esto lo cumple perfectamente incluso para despues del afeitado y para todo el cutis  valida para pieles normales y mixtas evitar en pieles grasas  se aplica muy facilmente y la piel la absorbe de manera rapida  viene con dosificador lo cual facilita su aplicacion pulsando con suavidad  precio razonable para uso diario rango segun ofertas entre 949 1390 por 100 ml  sus componentes no son de origen animal como factores negativos   es una crema con moderado olor quiero decir que deja cierta fragancia comento esto porque hay personas que prefieren cremas neutras a mi marido le recuerda un poco a las esencias clasicas masculinas pero tienes que acercarte mucho a la crema para poder apreciarlo en resumen consideramos que se trata de un producto con resultados satisfactorios para exclusivamente hidratar la piel a lo que hay que anadir la relacion calidad precio para una marca mas que recomendable espero que mi valoracion les haya resultado util en cuanto al analisis de todos aquellos aspectos que considero relevantes
1,buenas voy a ir por puntos para hacer la review mas amena como pone el subtitulo es una opinion como cliente vine la presentacion y el empaquetado como todo producto de loreal es buena bote vistoso se lee todo bien y el dispensador funciona muy bien he probado muchas cremas y geles como es este caso de hombre de esta marca y esta junto con la crema sensitive son de las que mas me gustan el olor es agradable es muy fresco suelo tener alergias y no me las dio punto para mi siempre importante la absorcion es muy buena y no tarda la piel en absorberla la sensacion al momento de ponerla es super fresca a mi eso me gusta sobre todo por las mananas la hidratacion durante las siguientes horas fue correctabuena no es la mas hidratante en este sentido pero es una crema destinada a dar mas frescor tenacidad a la piel mas que una super hidratacion veo buena si se combina con otra crema o un serum mas hidratante e ir alternando tambien es cierto que siendo un gel hidrante como es este caso hace que tenga unos puntos positivos y negativos vs una crema y viceversa de ahi que menciono que lo ideal es combinar tratamientos para tener una salud facial optima a dia que estoy haciendo la review el precio es de 990 el bote de 100ml calidad  precio lo veo muy bien resumiendo es un producto que me gusto espero que os haya servido de ayuda esta review un saludo nicola
1,la idea de esta emulsion para pieles castigadas de la linea de loreal men expert es la de aportarnos a los hombres un fluido calmante hidratante y revigorizante para la piel es la version masculina de los cosmeticos anti arrugas o anti edad de las mujeres pero centrado especialmente en las pieles castigadas y no en aquellos casos en los que estemos bien y simplemente queramos una buena locion para mantener nuestra piel radiante y saludable ayer estuve experimentando con ella como si fuera un after shave dado que mi rostro sumaba los envites del frio de la calle y la piel irritada del cuello tras afeitarme queria saber cuan profunda era su capaciad hidratantecalmante y reparadora entre otras cosas porque asi esta publicitado que es capaz de comportarse y estos son mis resultados  hidratacion perfecto funciona y se expande a las mil maravillas se seca sobre la piel pronto y se nota mas fresca elastica y brillante  alivio y regeneracion me ayudo ciertamente a calmar el picor y la rojez y aunque no funciono tan bien como un aftershave especifico al ser un producto de diario fue ayudado por la aplicacion de la noche y la de la manana de hoy y sin problemas espero que con la irritacion del cuello donde el barbero esta manana me paso la navaja tambien funcione bien pues lo tengo bastante irritado pero ahora mismo no me molesta nada con lo que esta funcionando bien  iluminacion y anti edad por ahora cumple con lo que promete aunque tengo que seguir dandole uso al menos durante una semana si hay novedades ampliare mi opinion me convencio
1,duermo poco descanso mal y echo muchas horas en el ordenador trabajando todo eso a la larga se nota los anos pasan para todos y la hidratacion de la piel es un factor muy importante para conseguir minimizar o disimular lo anteriormente comentado suelo utilizar la hidratante siempre que salgo de la ducha que es cuando mas seca y tirante se me queda la piel causando incluso rojeces en mis mejillas y frente se absorve super rapido no me causa reaccion ni alergias y eso que tengo la piel muy sensible y con ciertas cremas se me irrita mas aun y no deja la piel grasienta ni con brillos el olor que tiene es agradable y el formato del bote hace que sea muy comodo de utilizar en cuanto a las arrugas o los signos de cansancio facial no puedo decir que vaya a disminuir las arrugas o que las vaya a quitar por arte de magia de hecho yo no tengo practicamente por lo que desconozco si hara algo a largo plazo en gente que si tenga pero desde luego la sensacion que da el tener la piel hidratada y limpia te hace intuir que van a tardar mas en salir y que es la forma adecuada de cuidar la piel
